0.996	0.098	-0.113
0.98	-0.098	-0.105
0.977	-0.012	-0.16
1	0.094	-0.098
0.984	-0.07	-0.113
0.977	-0.027	-0.152
0.996	-0.078	-0.105
0.973	0.043	-0.117
0.977	-0.023	-0.152
0.992	-0.078	-0.105
1.023	0.109	-0.109
0.965	0.004	-0.129
1.023	-0.063	-0.125
0.984	-0.09	-0.109
0.977	-0.043	-0.148
0.996	-0.023	-0.117
1.023	0.094	-0.109
0.988	-0.051	-0.156
0.992	-0.066	-0.121
1.016	0.07	-0.113
0.984	-0.055	-0.156
0.992	-0.082	-0.117
0.965	0.063	-0.129
0.984	0.105	-0.152
1.023	0.113	-0.098
0.977	0	-0.156
0.984	-0.027	-0.125
0.984	-0.105	-0.117
0.98	-0.008	-0.145
0.988	0.133	-0.098
0.988	-0.051	-0.109
0.977	-0.008	-0.145
0.996	-0.07	-0.098
1.02	0.105	-0.102
0.984	-0.012	-0.148
0.996	-0.063	-0.102
1.02	0.109	-0.098
0.996	-0.023	-0.125
1	-0.059	-0.121
1.023	0.105	-0.113
0.973	-0.027	-0.152
1.016	-0.035	-0.113
1.023	0.098	-0.109
0.98	-0.035	-0.156
0.984	-0.07	-0.133
1.027	0.063	-0.117
0.98	-0.027	-0.145
0.988	-0.074	-0.125
1.012	0.09	-0.113
0.988	0.086	-0.145
1.031	0.113	-0.098
0.984	0.055	-0.141
1	-0.031	-0.117
0.961	-0.117	-0.125
0.98	0.043	-0.137
0.988	-0.055	-0.133
0.957	-0.035	-0.121
0.992	0.031	-0.141
1.031	-0.059	-0.133
0.965	-0.129	-0.125
0.992	0.023	-0.148
1.039	-0.051	-0.133
0.961	-0.148	-0.129
0.996	0.02	-0.117
1.023	0.082	-0.125
0.992	0.098	-0.133
1.008	-0.016	-0.125
0.973	0.016	-0.105
0.98	0.004	-0.113
1.027	0.07	-0.09
1.012	0.145	-0.121
1.004	0.02	-0.113
1.004	0.145	-0.152
1.027	0.09	-0.109
0.973	-0.082	-0.148
0.973	-0.047	-0.117
1.027	0.074	-0.109
0.953	-0.094	-0.152
0.988	-0.027	-0.109
1.016	0.066	-0.113
0.965	-0.09	-0.148
0.984	-0.074	-0.113
1.004	0.043	-0.113
0.957	-0.086	-0.148
0.969	-0.074	-0.121
1.016	0.066	-0.121
0.992	-0.082	-0.148
0.973	-0.07	-0.121
1.027	0.07	-0.121
1	0	-0.121
1.031	0.094	-0.109
0.965	-0.043	-0.152
0.996	0.145	-0.105
0.988	-0.047	-0.109
0.969	-0.043	-0.152
0.977	0.152	-0.109
0.984	-0.066	-0.117
0.969	-0.035	-0.145
0.98	0.156	-0.109
0.98	-0.086	-0.113
0.969	0.008	-0.129
1.035	-0.07	-0.129
0.984	-0.086	-0.105
0.965	-0.059	-0.145
0.984	-0.043	-0.109
1.031	0.094	-0.102
0.961	-0.066	-0.156
0.992	-0.031	-0.129
1.012	0.082	-0.109
0.969	-0.063	-0.156
0.98	-0.078	-0.125
1.02	0.043	-0.109
0.996	-0.063	-0.145
